Algorithm ,Case,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,Random,5000,30.1141,29.1661,29.2352,27.7102,27.7222,27.6227,28.7727,31.2593,28.3384,28.5406,29.1017,27.9344,27.2582,27.3529,26.7795,27.8037,28.9657,27.8605,30.4392,28.7661,28.5372
Bubble Sort,Sorted,5000,15.4671,15.2088,15.0618,15.1404,15.0758,15.1968,14.9203,15.0237,15.4260,14.4544,14.8688,14.8622,15.4508,15.4671,14.7318,15.2481,14.7223,15.4156,15.1549,15.2735,15.1085
Bubble Sort,ReverseSorted,5000,30.8710,30.7485,31.1226,30.9442,30.8788,30.6203,29.4279,29.6095,28.8570,28.3631,29.0202,28.7260,29.7719,29.9385,30.0404,31.6839,28.9177,29.0550,33.4677,32.3844,30.2224
Insertion Sort,Random,5000,7.2147,7.5397,7.3661,6.7188,8.5059,6.9920,8.0330,6.7680,7.6196,6.9720,8.5132,6.3737,7.2824,8.3192,7.0325,6.9905,7.1792,8.1744,7.6675,6.8312,7.4047
Insertion Sort,Sorted,5000,0.0070,0.0076,0.0074,0.0073,0.0074,0.0068,0.0071,0.0070,0.0068,0.0081,0.0073,0.0067,0.0068,0.0075,0.0071,0.0070,0.0070,0.0079,0.0073,0.0087,0.0073
Insertion Sort,ReverseSorted,5000,15.3721,15.1714,14.1543,14.0188,14.3659,14.0763,12.9511,15.4575,14.5845,13.2955,13.8438,12.9624,13.0442,13.6645,16.0059,14.2409,13.7665,13.8516,14.0314,14.6139,14.1736
Selection Sort,Random,5000,14.8574,15.8091,15.0307,14.7463,14.7040,13.8397,13.8021,13.7280,13.5695,13.5482,14.3492,13.9323,13.5230,14.2800,14.3332,13.5860,13.1036,13.8483,14.3376,13.7442,14.1336
Selection Sort,Sorted,5000,13.6030,14.1566,13.9361,13.6807,13.6815,13.1343,13.3747,13.5945,13.7180,13.6125,13.6993,13.3400,13.2217,12.6172,13.1411,13.5027,13.1620,13.3133,13.5549,14.0794,13.5062
Selection Sort,ReverseSorted,5000,14.0327,14.7011,14.2221,15.6414,13.8705,13.4999,13.7113,14.7488,13.1966,14.3416,13.6814,12.9675,13.3576,13.6926,13.8375,13.5626,12.9816,15.6394,14.1352,13.7644,13.9793
Merge Sort,Random,5000,0.8641,0.7146,0.7453,0.6927,0.6578,0.6768,0.9296,0.6601,0.6332,0.6320,0.6757,0.6304,0.8059,0.6772,1.1330,0.6604,0.6707,0.6649,0.6669,0.6733,0.7232
Merge Sort,Sorted,5000,0.4018,0.3749,0.4173,0.3823,0.3634,0.3792,0.4059,0.3653,0.3623,0.3849,0.3628,0.3503,0.4582,0.3782,0.3699,0.3567,0.5120,0.4136,0.3727,0.3734,0.3893
Merge Sort,ReverseSorted,5000,0.4731,0.4109,0.4748,0.4108,0.3930,0.4038,0.4382,0.3809,0.3773,0.3976,0.3946,0.3857,0.5212,0.3864,0.3835,0.3877,0.4336,0.4046,0.4051,0.4046,0.4134
Quick Sort,Random,5000,0.7893,0.7262,0.8506,0.7162,0.7114,0.6967,0.8761,0.6642,0.6713,0.7445,0.7128,0.6857,0.6987,0.8236,0.7226,0.6748,0.7490,0.7033,0.7124,0.7163,0.7323
Quick Sort,Sorted,5000,0.4136,0.3919,0.3823,0.3984,0.3772,0.3604,0.3737,0.3656,0.3800,0.3826,0.3634,0.3682,0.3774,0.3771,0.3689,0.3579,0.3613,0.4242,0.3780,0.3769,0.3790
Quick Sort,ReverseSorted,5000,0.5539,0.3908,0.3853,0.4311,0.3716,0.3677,0.4231,0.3588,0.3773,0.4260,0.3651,0.3876,0.3618,0.3782,0.3617,0.3563,0.3578,0.3787,0.3822,0.3788,0.3897
